date,indpro
1/1/1960,23.7741
2/1/1960,23.9082
3/1/1960,23.8546
4/1/1960,23.6667
5/1/1960,23.6131
6/1/1960,23.6667
7/1/1960,22.2446
8/1/1960,22.9959
9/1/1960,23.3447
10/1/1960,23.4521
11/1/1960,22.6202
12/1/1960,21.6274
1/1/1961,21.7348
2/1/1961,21.9762
3/1/1961,22.2714
4/1/1961,22.8349
5/1/1961,23.1837
6/1/1961,23.8546
7/1/1961,22.6471
8/1/1961,23.8009
9/1/1961,24.3644
10/1/1961,24.9279
11/1/1961,24.7132
12/1/1961,24.3376
1/1/1962,24.1497
2/1/1962,24.901
3/1/1962,25.2767
4/1/1962,25.384
5/1/1962,25.384
6/1/1962,25.7329
7/1/1962,24.4449
8/1/1962,25.2231
9/1/1962,26.189
10/1/1962,26.2964
11/1/1962,25.8134
12/1/1962,25.1694
1/1/1963,25.384
2/1/1963,26.2159
3/1/1963,26.5647
4/1/1963,26.7794
5/1/1963,27.0477
6/1/1963,27.5575
7/1/1963,25.7329
8/1/1963,26.4842
9/1/1963,27.6649
10/1/1963,28.121
11/1/1963,27.6112
12/1/1963,26.833
1/1/1964,27.1819
2/1/1964,27.9868
3/1/1964,28.121
4/1/1964,28.5772
5/1/1964,28.7113
6/1/1964,29.1675
7/1/1964,27.4502
8/1/1964,28.5235
9/1/1964,29.6773
10/1/1964,29.4358
11/1/1964,29.6237
12/1/1964,29.248
1/1/1965,29.731
2/1/1965,30.5092
3/1/1965,31.1531
4/1/1965,31.1531
5/1/1965,31.3947
6/1/1965,32.146
7/1/1965,30.4018
8/1/1965,31.341
9/1/1965,32.3875
10/1/1965,33.1388
11/1/1965,32.6021
12/1/1965,32.0655
1/1/1966,32.5216
2/1/1966,33.434
3/1/1966,34.1048
4/1/1966,34.0511
5/1/1966,34.2926
6/1/1966,35.0707
7/1/1966,32.8973
8/1/1966,34.078
9/1/1966,35.6611
10/1/1966,36.0367
11/1/1966,35.0707
12/1/1966,34.1853
1/1/1967,34.4
2/1/1967,34.7547
3/1/1967,34.7015
4/1/1967,34.8984
5/1/1967,34.6144
6/1/1967,35.4063
7/1/1967,33.0773
8/1/1967,34.89
9/1/1967,35.9106
10/1/1967,36.136
11/1/1967,36.0017
12/1/1967,35.3817
1/1/1968,35.4531
2/1/1968,36.3775
3/1/1968,36.7028
4/1/1968,36.5125
5/1/1968,37.0307
6/1/1968,37.9968
7/1/1968,35.5703
8/1/1968,36.6347
9/1/1968,38.0933
10/1/1968,38.2288
11/1/1968,38.0495
12/1/1968,36.9607
1/1/1969,37.3189
2/1/1969,38.4413
3/1/1969,38.9336
4/1/1969,38.583
5/1/1969,38.4987
6/1/1969,39.7414
7/1/1969,37.37
8/1/1969,38.8404
9/1/1969,40.0492
10/1/1969,40.0075
11/1/1969,38.8547
12/1/1969,37.5524
1/1/1970,36.9702
2/1/1970,37.8932
3/1/1970,37.995
4/1/1970,37.7279
5/1/1970,37.7458
6/1/1970,38.5132
7/1/1970,36.2675
8/1/1970,37.4658
9/1/1970,38.2968
10/1/1970,37.4133
11/1/1970,36.4045
12/1/1970,36.0639
1/1/1971,36.526
2/1/1971,37.4769
3/1/1971,37.5378
4/1/1971,37.6025
5/1/1971,37.8682
6/1/1971,38.8715
7/1/1971,36.3446
8/1/1971,37.5806
9/1/1971,39.2969
10/1/1971,39.4943
11/1/1971,38.7483
12/1/1971,37.7003
1/1/1972,39.0171
2/1/1972,40.2207
3/1/1972,40.6783
4/1/1972,41.2136
5/1/1972,41.2302
6/1/1972,42.1816
7/1/1972,39.7295
8/1/1972,41.4081
9/1/1972,42.9458
10/1/1972,43.6692
11/1/1972,43.5623
12/1/1972,42.9343
1/1/1973,43.101
2/1/1973,44.5958
3/1/1973,44.7578
4/1/1973,44.5422
5/1/1973,44.883
6/1/1973,45.8608
7/1/1973,43.7397
8/1/1973,44.4312
9/1/1973,46.0906
10/1/1973,46.6155
11/1/1973,46.2427
12/1/1973,44.8461
1/1/1974,44.4822
2/1/1974,45.1517
3/1/1974,45.3722
4/1/1974,44.81
5/1/1974,45.6055
6/1/1974,46.4701
7/1/1974,44.2829
8/1/1974,44.7888
9/1/1974,45.8972
10/1/1974,45.8699
11/1/1974,43.7648
12/1/1974,41.4415
1/1/1975,40.5937
2/1/1975,40.3918
3/1/1975,39.9805
4/1/1975,40.0701
5/1/1975,39.8599
6/1/1975,40.9808
7/1/1975,39.3058
8/1/1975,40.8508
9/1/1975,42.1764
10/1/1975,42.3691
11/1/1975,41.9488
12/1/1975,41.7109
1/1/1976,42.1756
2/1/1976,43.387
